================================================================================================
DAILY-MEAN CONTRACT CHECK — D+1, thresholds: {"pm25": {"r2": 0.7, "rmse": 20.0}, "no2": {"r2": 0.7, "rmse": 20.0}, "o3": {"r2": 0.7, "rmse": 20.0}, "so2": {"r2": 0.7, "rmse": 20.0}, "pm10": {"r2": 0.5, "rmse": 45.0}}
================================================================================================
pollutant  window                            pass  marg  fail total
 8365 Nehru Nagar                pm10   fold_3                           D+3      66.30    0.186
 8365 Nehru Nagar                pm10   holdout_120d                     D+2      71.35   -0.264
 8365 Nehru Nagar                pm10   holdout_120d                     D+3      70.77   -0.245
 8365 Nehru Nagar                no2    fold_1_stubble_oct_nov_2025      D+2      11.62    0.302
 8365 Nehru Nagar                no2    fold_1_stubble_oct_nov_2025      D+3      12.39    0.186
 8365 Nehru Nagar                no2    fold_2                           D+2      11.12    0.538
 8365 Nehru Nagar                no2    fold_2                           D+3      11.92    0.462
 8365 Nehru Nagar                no2    fold_3                           D+2      10.20    0.315
 8365 Nehru Nagar                no2    fold_3                           D+3      10.84    0.221
 8365 Nehru Nagar                no2    holdout_120d                     D+2       9.64   -0.333
 8365 Nehru Nagar                no2    holdout_120d                     D+3      10.01   -0.460
 8365 Nehru Nagar                o3     fold_1_stubble_oct_nov_2025      D+2      15.15   -0.443
 8365 Nehru Nagar                o3     fold_1_stubble_oct_nov_2025      D+3      14.62   -0.330
 8365 Nehru Nagar                o3     fold_2                           D+2      15.31   -0.207
 8365 Nehru Nagar                o3     fold_2                           D+3      14.95   -0.143
 8365 Nehru Nagar                o3     fold_3                           D+2      15.76    0.152
 8365 Nehru Nagar                o3     fold_3                           D+3      16.32    0.084
 8365 Nehru Nagar                o3     holdout_120d                     D+2      14.79   -0.729
 8365 Nehru Nagar                o3     holdout_120d                     D+3      14.86   -0.756
 8365 Nehru Nagar                so2    fold_1_stubble_oct_nov_2025      D+2       7.21    0.394
 8365 Nehru Nagar                so2    fold_1_stubble_oct_nov_2025      D+3       7.48    0.340
 8365 Nehru Nagar                so2    fold_2                           D+2       6.44    0.376
 8365 Nehru Nagar                so2    fold_2                           D+3       6.88    0.280
 8365 Nehru Nagar                so2    fold_3                           D+2       5.45    0.274
 8365 Nehru Nagar                so2    fold_3                           D+3       5.84    0.157
 8365 Nehru Nagar                so2    holdout_120d                     D+2       4.06    0.332
 8365 Nehru Nagar                so2    holdout_120d                     D+3       4.23    0.261
 8472 Bawana                     pm25   fold_1_stubble_oct_nov_2025      D+2      71.71    0.522
 8472 Bawana                     pm25   fold_1_stubble_oct_nov_2025      D+3      68.83    0.540
 8472 Bawana                     pm25   fold_2                           D+2      70.31    0.569
 8472 Bawana                     pm25   fold_2                           D+3      69.59    0.574
 8472 Bawana                     pm25   fold_3                           D+2      39.02    0.298
 8472 Bawana                     pm25   fold_3                           D+3      40.01    0.258
 8472 Bawana                     pm25   holdout_120d                     D+2      30.80   -0.598
 8472 Bawana                     pm25   holdout_120d                     D+3      30.94   -0.603
 8472 Bawana                     pm10   fold_1_stubble_oct_nov_2025      D+2      90.40    0.492
 8472 Bawana                     pm10   fold_1_stubble_oct_nov_2025      D+3      85.13    0.524
 8472 Bawana                     pm10   fold_2                           D+2      87.17    0.549
 8472 Bawana                     pm10   fold_2                           D+3      85.11    0.569
 8472 Bawana                     pm10   fold_3                           D+2      69.72   -0.013
 8472 Bawana                     pm10   fold_3                           D+3      72.90   -0.116
 8472 Bawana                     pm10   holdout_120d                     D+2     122.36    0.034
 8472 Bawana                     pm10   holdout_120d                     D+3     123.40    0.023
 8472 Bawana                     no2    fold_1_stubble_oct_nov_2025      D+2       9.45    0.472
 8472 Bawana                     no2    fold_1_stubble_oct_nov_2025      D+3       9.59    0.429
 8472 Bawana                     no2    fold_2                           D+2       9.24    0.489
 8472 Bawana                     no2    fold_2                           D+3       9.72    0.430
 8472 Bawana                     no2    fold_3                           D+2       8.21   -0.307
 8472 Bawana                     no2    fold_3                           D+3       8.17   -0.285
 8472 Bawana                     no2    holdout_120d                     D+2       6.70   -0.640
 8472 Bawana                     no2    holdout_120d                     D+3       6.79   -0.667
 8472 Bawana                     o3     fold_1_stubble_oct_nov_2025      D+2      11.15   -0.092
 8472 Bawana                     o3     fold_1_stubble_oct_nov_2025      D+3      11.24   -0.151
 8472 Bawana                     o3     fold_2                           D+2      10.62    0.371
 8472 Bawana                     o3     fold_2                           D+3      10.72    0.354
 8472 Bawana                     o3     fold_3                           D+2      12.19   -0.259
 8472 Bawana                     o3     fold_3                           D+3      12.47   -0.321
 8472 Bawana                     o3     holdout_120d                     D+2      19.07   -8.488
 8472 Bawana                     o3     holdout_120d                     D+3      19.18   -8.733
 8472 Bawana                     so2    fold_1_stubble_oct_nov_2025      D+2       8.49   -0.075
 8472 Bawana                     so2    fold_1_stubble_oct_nov_2025      D+3       8.52   -0.090
 8472 Bawana                     so2    fold_2                           D+2       6.38    0.062
 8472 Bawana                     so2    fold_2                           D+3       6.47    0.043
 8472 Bawana                     so2    fold_3                           D+2       4.97    0.426
 8472 Bawana                     so2    fold_3                           D+3       5.86    0.224
 8472 Bawana                     so2    holdout_120d                     D+2       7.98   -0.273
 8472 Bawana                     so2    holdout_120d                     D+3       7.60   -0.208
 8475 Sonia Vihar                pm25   fold_1_stubble_oct_nov_2025      D+2      52.85    0.644
 8475 Sonia Vihar                pm25   fold_1_stubble_oct_nov_2025      D+3      56.11    0.581
 8475 Sonia Vihar                pm25   fold_2                           D+2      55.26    0.661
 8475 Sonia Vihar                pm25   fold_2                           D+3      55.70    0.654
 8475 Sonia Vihar                pm25   fold_3                           D+2      29.29    0.504
 8475 Sonia Vihar                pm25   fold_3                           D+3      29.50    0.495
 8475 Sonia Vihar                pm25   holdout_120d                     D+2      26.01   -1.014
 8475 Sonia Vihar                pm25   holdout_120d                     D+3      26.25   -1.046
 8475 Sonia Vihar                pm10   fold_1_stubble_oct_nov_2025      D+2      98.90    0.282
 8475 Sonia Vihar                pm10   fold_1_stubble_oct_nov_2025      D+3      99.06    0.237
 8475 Sonia Vihar                pm10   fold_2                           D+2      99.95    0.325
 8475 Sonia Vihar                pm10   fold_2                           D+3     101.20    0.305
 8475 Sonia Vihar                pm10   fold_3                           D+2      72.92    0.069
 8475 Sonia Vihar                pm10   fold_3                           D+3      72.45    0.074
 8475 Sonia Vihar                pm10   holdout_120d                     D+2      76.63   -0.207
 8475 Sonia Vihar                pm10   holdout_120d                     D+3      77.18   -0.229
 8475 Sonia Vihar                no2    fold_1_stubble_oct_nov_2025      D+2       8.55    0.442
 8475 Sonia Vihar                no2    fold_1_stubble_oct_nov_2025      D+3       8.42    0.420
 8475 Sonia Vihar                no2    fold_2                           D+2       7.79    0.545
 8475 Sonia Vihar                no2    fold_2                           D+3       7.86    0.530
 8475 Sonia Vihar                no2    fold_3                           D+2       8.62    0.136
 8475 Sonia Vihar                no2    fold_3                           D+3       8.69    0.118
 8475 Sonia Vihar                no2    holdout_120d                     D+2      11.46   -0.391
 8475 Sonia Vihar                no2    holdout_120d                     D+3      11.81   -0.464
 8475 Sonia Vihar                o3     fold_1_stubble_oct_nov_2025      D+2      14.06    0.025
 8475 Sonia Vihar                o3     fold_1_stubble_oct_nov_2025      D+3      14.24   -0.026
 8475 Sonia Vihar                o3     fold_2                           D+2      13.68    0.119
 8475 Sonia Vihar                o3     fold_2                           D+3      13.56    0.136
 8475 Sonia Vihar                o3     fold_3                           D+2      15.86   -0.085
 8475 Sonia Vihar                o3     fold_3                           D+3      16.03   -0.054
 8475 Sonia Vihar                o3     holdout_120d                     D+2      14.56   -0.179
 8475 Sonia Vihar                o3     holdout_120d                     D+3      13.80   -0.266
 8475 Sonia Vihar                so2    fold_1_stubble_oct_nov_2025      D+2       5.68    0.709
 8475 Sonia Vihar                so2    fold_1_stubble_oct_nov_2025      D+3       6.78    0.586
 8475 Sonia Vihar                so2    fold_2                           D+2       4.45    0.773
 8475 Sonia Vihar                so2    fold_2                           D+3       5.35    0.673
 8475 Sonia Vihar                so2    fold_3                           D+2      41.04    0.143
 8475 Sonia Vihar                so2    fold_3                           D+3      44.66   -0.023
 8475 Sonia Vihar                so2    holdout_120d                     D+2       7.36    0.387
 8475 Sonia Vihar                so2    holdout_120d                     D+3       7.31    0.395
 8915 Wazirpur                   pm25   fold_1_stubble_oct_nov_2025      D+2      86.62    0.374
 8915 Wazirpur                   pm25   fold_1_stubble_oct_nov_2025      D+3      86.51    0.351
 8915 Wazirpur                   pm25   fold_2                           D+2      81.14    0.505
 8915 Wazirpur                   pm25   fold_2                           D+3      81.22    0.502
 8915 Wazirpur                   pm25   fold_3                           D+2      32.59    0.559
 8915 Wazirpur                   pm25   fold_3                           D+3      34.02    0.517
 8915 Wazirpur                   pm25   holdout_120d                     D+2      23.21   -0.605
 8915 Wazirpur                   pm25   holdout_120d                     D+3      23.20   -0.600
 8915 Wazirpur                   pm10   fold_1_stubble_oct_nov_2025      D+2     134.93    0.339
 8915 Wazirpur                   pm10   fold_1_stubble_oct_nov_2025      D+3     131.69    0.340
 8915 Wazirpur                   pm10   fold_2                           D+2     118.85    0.493
